Region Key,Geography Type,Geography Code,Geography Name
ICB|QOX,ICB,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
ICB|QHG,ICB,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
ICB|QHL,ICB,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
ICB|QUA,ICB,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD
ICB|QUY,ICB,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
ICB|QU9,ICB,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
ICB|QUE,ICB,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
ICB|QYG,ICB,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
ICB|QT6,ICB,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD
ICB|QWU,ICB,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
ICB|QJ2,ICB,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
ICB|QJK,ICB,QJK,NHS DEVON INTEGRATED CARE BOARD
ICB|QVV,ICB,QVV,NHS DORSET INTEGRATED CARE BOARD
ICB|-,ICB,-,NHS ENGLAND
ICB|QNQ,ICB,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD
ICB|QR1,ICB,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD
ICB|QOP,ICB,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
ICB|QRL,ICB,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
ICB|QGH,ICB,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
ICB|QM7,ICB,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
ICB|QOQ,ICB,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
ICB|QKS,ICB,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
ICB|QE1,ICB,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
ICB|QK1,ICB,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD"
ICB|QJM,ICB,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
ICB|QH8,ICB,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
ICB|QMM,ICB,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
ICB|QMJ,ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
ICB|QHM,ICB,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
ICB|QMF,ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
ICB|QRV,ICB,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
ICB|QPM,ICB,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD
ICB|QT1,ICB,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
ICB|QOC,ICB,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
ICB|QSL,ICB,QSL,NHS SOMERSET INTEGRATED CARE BOARD
ICB|QKK,ICB,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
ICB|QWE,ICB,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
ICB|QF7,ICB,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
ICB|QNC,ICB,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD
ICB|QJG,ICB,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
ICB|QXU,ICB,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
ICB|QNX,ICB,QNX,NHS SUSSEX INTEGRATED CARE BOARD
ICB|QWO,ICB,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
Region|Y61,Region,Y61,EAST OF ENGLAND COMMISSIONING REGION
Region|Y56,Region,Y56,LONDON COMMISSIONING REGION
Region|Y60,Region,Y60,MIDLANDS COMMISSIONING REGION
Region|-,Region,-,NHS ENGLAND
Region|Y63,Region,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION
Region|Y62,Region,Y62,NORTH WEST COMMISSIONING REGION
Region|Y59,Region,Y59,SOUTH EAST COMMISSIONING REGION
Region|Y58,Region,Y58,SOUTH WEST COMMISSIONING REGION
